w,x,y
5.55,-3.62,-98.04
3.41,1.68,31.85
3.71,-4.45,-80.57
5.44,5.92,135.01
5.53,1.19,51.16
4.34,-6.58,-133.38
4.05,-7.15,-139.44
4.29,-0.87,-40.67
4.62,3.65,74.29
3.82,3.72,62.98
6.38,0.91,59.17
5.06,-1.77,-60.69
4.03,1.72,38.96
4.37,-2.23,-57.45
6.95,-2.83,-109.66
5.15,2.65,66.79
5.38,-8.99,-220.51
5.68,6.16,146.19
5.73,-2.57,-82.88
4.53,0.27,29.0
5.96,7.6,190.09
5.58,-2.2,-74.49
6.29,1.06,60.08
4.47,2.17,50.18
5.64,0.58,44.61
3.67,10.45,205.41
3.63,3.9,62.67
3.84,0.41,24.11
3.87,-9.14,-183.2
6.89,4.09,126.45
5.78,3.01,83.23
5.75,-7.85,-198.87
4.41,9.86,209.7
5.25,5.94,131.31
3.96,-3.63,-71.54
5.06,6.16,132.03
2.83,-9.04,-154.79
3.16,2.68,40.1
3.78,-0.04,-28.6
6.58,-0.74,-67.51
5.18,-8.14,-191.27
4.49,2.1,49.45
5.93,11.24,300.95
5.7,-9.14,-234.1
3.74,-4.25,-77.84
3.43,-2.32,-47.08
4.12,0.17,24.43
4.31,0.17,26.14
4.75,4.8,97.05
5.54,0.4,41.21
3.0,5.4,76.42
5.18,2.12,59.29
4.39,-4.01,-84.62
5.2,-0.39,-45.25
4.52,0.56,31.8
4.57,-0.37,-38.47
5.02,-2.77,-74.61
4.53,1.42,41.39
5.06,-3.15,-81.43
3.33,-1.83,-40.58
5.75,-4.35,-116.02
4.74,-4.97,-108.36
4.89,-1.72,-57.79
4.13,4.06,73.0
4.57,-3.18,-74.06
5.82,0.83,50.27
5.8,-7.16,-181.97
5.88,3.07,86.13
5.13,-3.67,-91.54
4.02,8.83,171.11
6.11,-5.23,-142.59
4.98,3.23,73.3
5.38,-7.39,-177.12
4.65,3.73,76.27
3.57,1.04,27.25
5.85,1.06,53.82
6.04,-1.05,-64.18
5.25,0.71,41.51
4.0,4.08,71.21
5.93,1.1,55.35
5.27,-3.72,-94.74
4.43,-2.49,-61.89
5.3,-0.69,-49.82
4.59,-1.02,-45.49
3.38,-1.36,-36.45
6.36,4.52,124.37
4.25,9.97,208.18
5.37,-12.18,-322.0
4.69,-4.85,-104.92
4.37,3.76,72.14
6.76,-1.43,-80.93
3.93,4.62,79.2
4.66,-7.34,-157.88
5.07,3.07,72.21
5.24,1.12,46.43
3.48,10.86,211.88
4.64,-6.09,-129.05
5.65,0.9,48.91
3.38,-1.63,-39.1
4.69,-3.13,-75.16
5.6,3.07,81.06
2.84,5.46,74.75
4.83,13.03,325.21
5.18,2.33,62.5
2.64,1.76,25.4
5.37,5.09,115.47
3.88,3.26,56.99
4.69,1.62,45.83
5.24,2.97,73.34
5.09,-0.18,-41.82
4.14,3.44,63.48
3.87,1.52,35.04
4.65,-2.3,-62.21
5.49,-0.32,-47.79
4.84,-5.44,-119.59
3.74,8.93,166.62
5.13,1.09,44.67
5.41,-8.62,-210.9
4.53,-8.36,-180.24
5.85,-1.67,-70.64
5.13,-8.53,-200.46
5.68,7.29,174.23
7.02,-5.19,-163.21
5.47,-1.78,-66.6
5.8,2.94,82.39
4.77,-4.36,-97.39
4.82,1.01,40.03
6.16,-3.69,-111.13
5.47,3.44,85.49
4.47,-1.63,-51.19
4.69,-3.2,-76.18
5.23,-0.36,-45.27
6.77,1.02,66.75
5.09,5.03,108.56
3.67,4.14,67.02
4.64,-10.37,-239.34
4.58,4.12,81.8
4.06,4.82,84.81
4.01,-2.51,-56.5
5.55,-2.52,-79.2
6.07,0.29,46.5
3.87,-13.52,-316.51
6.73,1.69,76.98
5.1,4.7,101.93
4.98,7.67,166.13
5.21,1.11,45.92
3.54,1.72,33.75
3.81,-3.17,-62.7
4.64,-8.58,-188.93
3.21,-0.11,-25.02
4.18,1.65,40.06
3.3,-1.04,-32.82
6.42,4.21,118.93
7.17,7.36,216.95
3.56,3.59,57.22
6.5,7.53,202.9
5.39,1.95,59.98
4.39,-1.18,-45.0
3.06,-7.82,-132.43
6.19,-0.63,-60.56
4.0,-0.93,-38.32
5.27,-0.89,-51.91
3.93,0.49,25.62
5.56,-1.25,-60.4
5.19,1.5,50.79
4.76,-4.28,-95.74
4.14,2.68,52.5
4.21,5.48,99.95
5.33,-2.19,-70.49
2.73,5.95,81.3
4.84,4.76,98.07
5.11,4.87,105.57
4.33,-1.68,-50.17
4.34,-0.53,-37.76
3.67,4.2,67.91
4.25,-4.26,-86.45
4.89,-4.85,-109.05
6.38,-3.91,-119.89
6.85,7.16,202.39
5.66,0.48,43.65
6.37,2.85,90.98
5.29,-6.14,-144.75
4.54,-0.01,-34.71
4.33,-0.73,-39.6
4.0,-7.72,-151.36
4.01,-0.95,-38.61
6.38,-5.05,-144.48
6.21,7.34,189.67
4.66,-3.88,-86.91
3.99,5.98,105.24
4.72,4.29,87.18
4.01,8.75,168.97
6.96,-0.6,-71.22
5.22,-4.07,-100.44
5.1,2.57,64.78
4.78,-4.48,-99.67
4.05,12.68,285.83
5.13,-3.27,-84.59
5.15,-0.95,-51.2
6.37,4.78,130.43
5.58,8.67,209.13
5.93,2.43,75.77
3.92,-2.74,-58.37
4.47,-0.0,-33.98
5.65,4.43,107.56
4.73,1.59,45.95
5.37,7.52,172.19
3.93,4.31,73.9
4.76,-11.66,-283.41
4.19,3.63,67.12
4.28,1.82,43.24
4.88,6.64,138.52
4.91,-7.54,-169.19
5.5,-6.66,-161.71
4.81,-4.83,-106.86
3.96,-3.22,-65.59
5.01,-0.52,-44.62
4.01,-0.89,-37.99
6.0,-9.71,-260.79
4.88,5.17,107.12
6.4,-3.29,-107.91
4.77,-2.54,-67.32
5.93,-3.6,-104.75
6.26,7.91,206.6
4.0,1.06,31.68
3.96,2.5,47.69
6.38,4.78,130.41
4.16,-3.94,-79.57
4.44,3.16,63.79
5.63,0.05,38.31
3.39,0.23,19.08
5.82,-2.16,-77.81
3.86,13.01,290.44
4.45,4.06,78.54
4.79,-1.14,-49.16
4.66,4.19,84.32
4.44,15.74,413.08
5.37,-3.92,-100.27
3.83,-5.72,-105.25
4.27,7.95,155.51
5.07,-4.8,-111.45
4.15,2.23,46.79
4.95,-4.12,-96.24
4.91,8.54,186.79
4.9,4.18,88.49
6.87,4.31,130.92
6.31,0.07,46.71
5.76,-1.02,-59.91
5.44,2.46,68.27
5.61,1.65,58.83
4.71,-8.84,-197.67
4.92,11.7,282.42
4.71,0.99,38.52
7.06,1.39,77.51
4.6,0.21,29.22
3.8,1.72,36.42
6.24,1.83,71.16
5.19,-3.73,-93.64
4.81,4.74,97.13
5.07,3.62,81.51
4.19,-6.07,-119.27
5.58,3.35,85.73
4.5,-8.53,-183.88
4.31,-1.69,-49.96
3.71,4.6,75.05
5.28,0.41,38.3
4.15,2.43,49.32
6.56,5.35,147.68
4.51,1.38,40.68
5.6,0.92,48.56
6.85,2.9,101.04
3.15,4.06,57.9
5.09,-2.73,-75.15
5.32,-0.76,-51.04
3.0,-3.35,-54.24
4.88,-5.93,-130.97
6.62,-5.9,-170.84
3.05,-4.74,-74.7
6.44,-4.85,-141.62
3.73,9.75,187.68
3.84,-2.28,-51.49
4.69,-7.44,-160.99
5.34,-11.65,-302.86
3.45,8.45,147.56
5.84,0.06,40.73
4.14,-5.63,-109.39
4.51,8.03,163.16
3.65,6.04,100.03
6.23,-0.1,-54.07
5.42,11.3,285.43
5.51,-3.36,-92.8
4.83,1.3,43.54
5.54,4.63,109.46
6.98,-3.17,-117.06
3.53,5.06,79.65
5.93,3.6,96.86
4.71,-24.49,-866.66
7.57,-4.03,-148.54
5.26,4.47,100.72
4.75,3.78,78.79
5.43,-12.59,-338.74
5.85,-2.76,-88.2
5.62,0.13,39.06
3.41,-3.49,-61.55
3.17,-7.12,-119.77
3.19,0.21,17.6
3.36,7.1,115.36
4.55,6.46,127.2
5.04,-9.24,-217.81
6.25,1.47,65.58
4.34,7.55,147.22
3.18,3.13,45.74
5.21,9.19,213.26
3.89,-6.69,-125.81
4.43,0.49,30.18
6.82,-3.53,-121.24
4.02,9.45,187.63
3.84,9.39,181.04
3.78,-4.94,-90.03
6.11,-1.39,-70.23
2.53,-1.84,-33.04
4.99,-4.55,-104.93
4.33,-3.86,-81.07
5.79,2.07,67.84
5.78,-2.17,-77.17
6.07,-2.81,-92.86
5.01,-3.85,-92.52
6.65,5.64,156.95
5.64,-2.19,-75.31
4.67,10.2,227.01
5.07,0.62,38.4
4.61,-10.6,-245.19
5.09,1.6,50.74
4.43,-2.33,-59.7
6.64,0.47,56.48
4.65,-0.53,-40.85
3.17,-6.69,-111.11
5.14,1.23,46.69
4.67,-5.45,-116.47
5.35,-1.67,-63.28
7.1,5.99,177.37
4.69,-6.02,-128.58
4.35,3.29,64.48
3.52,0.48,22.05
4.36,1.97,46.15
4.55,2.63,57.47
4.87,3.37,74.01
3.4,-1.74,-40.4
4.12,1.9,42.21
3.7,-4.52,-81.61
3.71,0.44,23.2
5.16,-1.79,-62.29
5.97,2.82,83.3
5.59,2.4,69.82
4.96,2.73,65.11
2.84,7.0,102.79
4.44,-0.45,-37.94
6.25,7.08,183.75
4.31,-2.5,-60.38
3.43,1.13,26.79
4.57,9.6,206.81
5.36,-4.71,-115.45
4.34,4.24,79.74
3.83,0.39,23.78
4.05,-5.65,-108.08
4.61,0.43,31.46
5.31,3.68,86.93
4.78,-5.76,-125.06
6.32,-3.39,-108.24
5.95,-0.18,-51.51
3.68,6.92,118.38
4.47,1.12,37.29
5.87,-3.79,-107.43
3.87,5.99,103.15
7.91,0.19,71.6
2.99,-0.75,-28.0
2.93,-0.72,-27.34
4.2,2.83,55.42
3.95,0.61,26.77
6.56,2.13,81.65
5.46,-8.65,-213.2
5.14,8.6,194.99
6.09,4.45,116.97
5.25,2.28,62.67
5.12,-4.57,-107.96
6.96,-2.57,-104.86
4.49,-0.67,-40.58
4.99,18.73,568.36
5.31,5.27,117.86
5.23,-2.04,-66.78
6.41,1.72,72.03
6.59,7.66,209.08
6.46,5.98,160.86
4.47,0.94,35.24
4.6,0.97,37.1
5.7,1.12,52.6
6.05,-5.61,-150.07
5.36,-2.82,-80.91
4.49,0.83,34.29
5.3,7.61,172.82
5.09,-1.4,-56.12
5.41,3.29,81.61
5.57,13.79,380.64
4.78,0.15,30.35
4.54,-3.32,-75.91
6.19,0.86,55.59
5.06,-4.72,-109.79
5.91,-5.5,-144.35
4.55,-1.25,-47.59
5.1,3.14,73.87
5.06,-5.51,-125.77
6.17,-2.58,-90.63
6.12,-0.96,-64.22
4.24,-6.22,-123.38
5.28,6.11,135.77
3.76,-1.59,-42.67
5.46,-13.65,-379.18
5.19,4.37,97.34
4.33,-18.22,-522.57
5.71,2.04,65.94
5.18,3.49,81.27
4.72,-6.95,-150.2
3.55,-1.49,-39.34
6.11,9.08,236.94
6.69,-1.53,-81.6
4.41,3.15,63.14
2.65,-1.88,-34.52
4.38,2.87,58.64
3.14,-4.31,-69.47
4.01,15.27,377.69
4.52,-9.39,-207.53
5.83,5.29,129.68
6.02,-6.03,-159.22
5.55,-3.62,-98.18
5.71,3.58,92.36
4.93,-2.56,-69.97
5.48,-7.46,-181.5
4.4,8.03,160.36
3.91,-1.88,-47.48
4.12,3.07,57.72
3.73,-6.17,-111.95
4.79,2.24,55.45
3.93,-5.5,-103.05
5.07,4.83,104.01
3.45,-5.71,-97.82
2.94,6.14,88.42
5.55,-10.11,-259.27
4.31,8.16,161.42
4.8,-4.08,-92.75
4.65,-1.53,-52.22
5.78,10.26,263.13
6.84,5.3,153.38
3.92,1.53,35.68
6.29,0.78,56.04
3.96,-2.4,-54.55
4.71,-1.38,-51.11
4.1,-0.79,-37.91
4.58,-4.31,-93.08
4.26,-4.7,-94.28
4.92,3.06,69.7
4.64,-0.29,-38.27
3.53,-1.64,-40.73
4.46,0.87,34.42
4.08,0.46,26.66
4.48,0.9,34.85
5.51,10.17,251.77
4.4,-1.19,-45.18
4.45,-4.53,-94.54
4.42,-1.29,-46.59
4.21,6.61,123.12
5.41,0.23,37.74
4.49,-2.67,-65.18
6.43,9.16,249.11
6.32,6.52,170.85
5.0,1.94,54.1
4.96,-1.12,-50.98
4.28,6.4,120.1
5.41,-4.46,-111.38
4.76,-6.76,-146.7
4.11,6.86,126.31
5.58,-1.14,-59.18
5.5,-2.36,-75.73
4.33,-2.24,-57.13
4.43,-0.16,-35.07
4.95,-9.13,-212.41
5.22,1.58,52.24
5.24,-7.38,-173.26
4.85,-0.39,-41.43
6.24,-4.02,-119.22
4.95,1.68,50.02
4.44,2.63,55.9
6.73,0.93,64.69
4.19,9.85,203.05
4.62,2.22,52.85
4.08,-6.11,-117.68
5.16,-1.97,-64.79
3.47,1.93,35.07
4.02,-6.29,-120.22
4.8,0.07,29.68
5.27,-0.09,-42.71
6.36,0.0,46.5
5.93,-3.7,-106.61
4.93,1.0,41.19
5.87,-4.67,-125.14
4.94,-6.11,-136.14
3.92,5.48,94.39
4.55,-5.37,-112.49
5.17,-2.75,-76.76
4.78,-8.25,-183.63
6.21,3.96,109.42
4.01,3.57,63.31
3.21,-7.47,-127.93
4.43,-8.25,-175.0
7.65,-5.12,-177.14
6.26,-4.87,-138.04
5.17,-5.05,-118.38
3.94,8.01,148.71
4.34,9.62,200.84
4.13,3.66,66.65
5.45,-9.24,-229.9
4.59,4.82,94.57
3.95,8.2,153.61
6.25,2.28,78.81
6.04,-2.73,-90.93
4.57,2.17,51.44
4.41,2.74,57.25
4.18,1.12,34.08
3.81,3.38,57.56
4.6,0.83,35.52
4.45,-4.22,-89.28
2.8,-5.15,-77.15
4.84,2.79,64.17
5.78,-1.69,-69.9
4.59,2.1,50.79
4.7,-2.15,-60.95
3.88,0.95,29.28
4.68,5.1,101.5
4.99,-5.98,-134.34
6.63,-0.8,-69.18
5.02,0.06,31.81
5.17,-4.74,-112.25
3.17,-0.13,-24.9
4.47,-10.7,-244.06
4.4,7.84,155.71
5.02,1.66,50.67
4.15,-7.86,-158.18
5.1,6.88,149.44
6.31,5.88,154.71
4.88,8.16,176.21
6.0,-8.07,-212.1
3.25,0.38,19.2
4.48,-4.93,-102.53
5.51,-0.19,-46.44
4.64,5.05,99.97
5.25,-2.97,-81.48
4.43,0.32,28.54
5.19,7.82,175.31
5.53,1.19,51.21
2.17,5.22,60.61
2.77,-5.19,-77.32
5.86,3.26,89.15
4.16,-5.02,-98.36
5.69,0.76,47.72
4.56,-6.09,-127.31
7.1,0.78,68.11
6.09,6.47,163.78
5.72,2.31,70.39
4.48,3.7,72.8
4.9,2.24,57.03
4.73,-3.59,-83.18
2.0,2.44,25.67
4.4,3.67,71.2
4.5,-0.66,-40.6
5.19,-3.67,-92.66
3.76,5.11,84.57
4.97,3.72,81.49
3.68,4.52,73.13
6.28,-4.59,-132.0
5.04,4.13,90.17
5.6,-2.72,-83.12
4.16,2.57,51.31
4.93,8.02,173.83
2.35,-0.19,-20.47
4.54,-4.36,-93.13
5.31,-2.52,-75.37
3.62,-2.98,-57.6
4.04,-2.73,-59.84
6.03,-5.1,-137.73
5.94,-10.52,-284.92
4.73,0.71,35.61
4.72,4.62,93.31
4.78,-4.05,-91.87
4.06,-3.96,-78.36
4.0,-5.0,-94.99
3.69,-3.19,-61.29
5.25,-5.27,-124.65
5.62,-5.18,-130.79
5.21,-2.33,-70.84
4.25,-2.9,-65.08
5.68,-2.13,-75.03
5.35,6.77,152.7
5.87,1.4,58.79
3.47,0.32,20.37
2.13,2.57,28.04
7.02,1.67,81.57
6.83,4.76,140.38
6.12,4.36,115.9
6.46,-1.5,-77.31
2.96,2.38,34.47
4.5,3.49,69.84
4.88,-4.86,-108.93
4.84,-1.04,-48.57
4.29,-4.4,-89.58
4.6,4.02,80.26
5.95,2.0,69.18
6.29,-6.45,-176.25
5.3,3.26,79.21
5.36,-3.13,-85.93
4.56,-1.79,-54.32
4.23,2.34,49.18
3.12,-2.13,-41.55
5.95,4.93,124.28
4.28,6.14,114.59
5.45,7.53,174.48
5.1,0.96,42.76
5.97,-2.35,-83.31
6.21,-0.38,-57.41
4.51,-0.48,-38.94
5.38,-0.58,-49.53
5.01,0.79,39.66
6.88,1.63,78.35
5.58,-5.09,-127.9
5.88,7.33,180.64
6.67,3.17,102.78
2.58,0.29,14.21
5.15,2.71,67.86
4.07,-3.52,-71.5
3.8,-1.08,-37.86
5.95,10.74,284.41
6.59,1.68,74.38
4.85,4.52,93.78
5.64,6.09,143.62
3.98,-3.76,-73.88
4.24,4.32,79.27
3.99,0.67,27.78
5.55,-0.5,-50.64
7.45,5.52,174.33
4.4,10.65,232.37
3.81,6.19,105.86
3.93,-0.16,-30.75
5.21,0.79,41.92
5.95,2.81,82.87
5.89,0.58,47.92
4.77,8.32,177.25
4.02,-3.92,-77.08
4.33,3.1,61.13
5.36,-1.93,-67.06
6.54,1.27,67.01
4.7,-8.84,-197.31
4.57,-13.31,-333.63
7.79,2.16,104.97
5.9,-0.24,-51.67
5.67,-3.98,-107.11
5.94,9.44,242.61
6.88,0.28,57.39
5.49,-6.17,-149.92
5.95,5.87,145.59
4.97,3.07,70.68
4.3,3.36,64.58
5.59,0.72,45.76
7.2,3.1,112.24
5.72,0.18,40.81
6.23,2.62,84.29
4.79,-3.38,-80.8
5.14,-3.94,-96.51
4.35,7.97,157.66
4.97,-3.25,-81.56
3.66,1.27,30.36
4.24,-2.36,-57.62
6.07,-2.31,-84.24
5.04,6.19,132.22
4.86,-4.96,-110.39
4.23,2.39,49.8
3.97,1.75,38.69
4.17,-3.5,-72.86
5.37,5.46,123.41
6.02,-5.19,-139.75
6.79,0.17,54.45
2.43,8.3,121.25
3.36,4.67,70.43
4.61,4.03,80.66
7.12,-0.89,-78.2
4.81,-3.28,-79.47
5.0,-1.39,-54.77
7.35,4.26,140.94
4.1,3.43,62.7
5.64,-1.22,-60.99
5.11,-6.01,-137.57
3.08,-4.3,-68.46
6.04,-0.17,-52.55
4.27,2.76,55.4
6.29,7.16,186.94
6.82,2.99,102.23
6.6,2.25,84.23
4.4,4.15,79.24
6.03,-6.67,-175.46
5.31,6.65,148.85
6.09,1.05,57.08
5.67,-13.12,-366.95
3.76,3.85,63.88
3.63,3.34,54.71
4.81,-0.9,-46.56
6.91,1.2,71.82
6.86,3.11,105.44
5.13,-3.16,-82.77
5.15,-0.49,-45.85
6.07,0.04,43.33
6.02,-1.84,-75.66
4.21,5.48,99.91
5.03,2.23,58.61
5.33,2.02,59.96
5.84,-6.71,-171.47
6.63,2.6,91.21
6.74,2.17,85.48
4.86,-5.19,-115.05
3.92,7.9,145.67
3.03,1.8,29.35
4.86,-6.28,-138.13
7.68,7.17,226.39
3.3,-4.79,-79.51
4.27,-9.62,-206.73
4.51,-10.49,-239.25
6.55,-8.35,-236.02
4.72,0.86,37.18
4.7,5.88,118.04
4.92,-2.03,-62.37
6.96,-0.34,-67.2
6.01,3.17,90.32
5.39,-2.06,-69.4
4.47,-1.25,-46.65
5.77,-11.3,-305.39
5.11,-1.05,-51.96
3.98,0.39,25.1
3.0,-10.19,-187.95
3.94,-2.91,-60.97
3.37,-3.57,-62.26
3.76,-2.0,-47.15
3.82,3.52,59.84
5.66,-1.61,-66.9
3.55,9.64,179.98
4.89,-10.62,-254.53
3.34,-1.48,-37.27
6.11,-2.86,-94.54
6.42,7.51,200.1
4.66,3.69,75.84
5.68,3.58,91.6
4.25,-8.22,-169.55
5.02,-8.34,-192.43
5.13,6.15,133.21
5.32,2.3,64.21
4.89,6.97,146.55
5.55,5.36,125.05
5.67,-0.17,-48.16
7.45,4.03,137.66
5.04,-3.68,-90.06
5.32,2.07,60.62
6.0,-3.42,-102.73
4.26,3.85,71.7
4.05,-6.31,-121.19
3.78,-8.52,-165.39
4.22,8.16,159.08
5.6,2.67,74.34
4.49,1.0,36.16
5.29,1.12,47.04
6.09,3.03,89.29
3.73,-0.21,-29.51
4.72,-4.12,-92.03
5.77,-3.81,-105.76
4.52,-8.67,-187.99
3.65,-5.86,-104.47
6.37,-10.27,-290.99
5.67,-5.34,-135.18
5.92,-1.59,-70.52
3.45,9.52,173.98
4.28,6.73,127.05
5.97,0.45,47.26
5.9,-8.73,-228.12
5.15,3.08,73.69
5.94,-4.69,-127.06
6.3,1.24,62.83
4.71,1.18,40.75
6.49,0.96,61.49
4.9,1.19,43.19
4.56,-8.54,-185.55
3.55,-3.91,-69.56
5.46,3.64,88.71
4.25,-1.55,-47.62
5.47,3.87,93.06
5.53,-2.58,-79.82
5.24,-0.11,-42.61
4.98,6.04,127.47
5.74,7.13,171.75
4.85,4.13,86.68
5.62,-1.99,-71.89
5.19,11.79,294.49
7.17,10.59,321.23
3.87,4.25,72.03
6.79,2.5,92.38
6.33,1.44,66.38
4.41,-7.14,-147.37
4.23,-3.69,-76.74
3.69,1.26,30.55
3.76,1.95,38.7
6.51,-0.0,-56.38
5.02,-0.04,-39.61
4.27,-3.87,-80.34
4.57,3.47,70.59
4.22,8.17,159.73
5.04,-11.24,-278.96
4.83,2.32,57.26
6.01,0.18,44.39
5.28,-3.25,-86.63
3.9,0.9,29.03
4.74,-0.8,-44.71
6.12,-7.05,-187.38
4.19,5.74,104.79
5.56,3.15,81.95
6.08,4.2,111.64
5.52,1.34,53.13
3.4,-12.71,-273.39
5.56,-2.86,-84.88
4.62,3.92,78.81
4.39,-3.02,-68.81
4.58,-1.05,-45.73
5.82,9.43,238.37
5.68,-1.24,-61.96
6.0,4.72,120.93
4.03,6.64,119.81
4.48,3.31,66.73
6.37,4.61,126.55
5.35,0.85,44.42
5.48,4.1,97.79
5.47,7.44,172.57
3.61,12.05,251.17
6.84,4.81,141.9
6.77,4.82,140.36
5.58,2.44,70.25
6.65,-1.7,-83.65
4.65,-3.54,-81.14
6.98,1.92,85.2
5.51,0.39,40.8
4.9,-3.78,-89.33
6.07,-1.89,-77.35
4.34,4.37,81.85
4.31,-1.34,-45.91
5.93,-0.16,-51.14
5.32,1.77,56.25
5.11,9.29,213.56
4.59,-8.57,-187.41
4.62,13.04,317.93
4.52,-11.9,-283.81
4.32,7.12,136.85
5.4,-2.52,-76.65
3.73,0.19,21.36
5.59,1.69,59.06
4.9,-1.27,-52.03
3.9,3.09,54.77
4.39,4.81,90.76
4.12,-1.73,-48.17
3.95,-1.29,-41.46
4.7,0.17,29.77
5.78,3.12,85.19
3.67,9.93,191.04
4.09,-6.14,-118.55
4.38,-8.59,-182.18
5.21,-7.03,-163.73
4.01,-2.38,-54.75
3.8,-11.29,-241.75
4.65,2.38,55.36
5.64,1.58,58.17
6.97,5.44,159.84
6.09,-1.41,-70.15
7.62,-6.42,-211.19
6.29,0.62,53.76
4.48,-9.16,-200.19
6.75,-8.85,-257.52
5.58,-0.08,-46.11
5.29,-7.25,-171.28
4.26,-0.44,-36.1
6.33,-6.72,-184.28
4.74,0.31,31.53
6.13,11.84,329.11
6.26,0.59,52.85
3.57,6.21,101.62
5.61,5.42,127.81
5.04,-2.79,-75.34
4.32,1.63,41.4
3.01,-0.95,-29.63
4.93,3.38,75.13
4.29,-1.53,-47.94
3.85,9.86,193.9
2.87,-5.0,-75.99
6.24,3.67,104.24
5.36,-0.47,-48.06
5.17,7.48,165.85
3.48,4.0,61.81
4.18,-2.05,-52.83
4.21,-7.44,-149.81
5.04,-1.93,-62.66
5.39,2.83,73.59
3.41,1.71,32.27
3.99,-5.56,-105.13
2.5,-0.64,-23.88
6.43,-7.33,-203.2
4.17,-6.81,-134.52
2.66,-3.07,-46.73
6.58,6.25,170.63
4.2,-2.11,-53.78
5.3,-5.76,-136.37
5.9,5.63,138.9
5.09,2.23,59.69
5.01,-9.25,-217.47
4.4,-2.02,-55.29
4.53,1.94,47.79
5.08,-1.65,-59.24
4.18,-4.97,-97.78
3.75,2.61,46.38
6.59,-3.81,-122.22
5.02,2.56,63.51
